New Name,Feature_Description,Date,MapInfo,Province,FeatureSubTypeID,Previous_Name,MagisterialDistrictID,ProvinceID,fklLanguageID,Disteral,Local Municipality,Sound,District Municipality,fklLocalMunic,Comments,Meaning,Language
Malan,Village,2005-07-16 00:00:00,10 km N of Wellington,Western Cape,106.0,,,9.0,1.0,DC2,Drakenstein,,"Cape Winelands
",WC023,,,
Malan Stasie,Railway Station,2005-07-16 00:00:00,10km N of Wellington,Western Cape,136.0,,,9.0,6.0,DC2,Drakenstein,,"Cape Winelands
",WC023,,,
Malebitsa,Post Office,2002-05-01 00:00:00,23 km E of Tuinplaas RPA,Limpopo,73.0,,311.0,7.0,8.0,DC36,Mogalakwena,,Waterberg,NP367,,,
Malebogo,Post Office,2000-09-07 00:00:00,37 km W of Bochum,Limpopo,73.0,,344.0,7.0,4.0,DC35,Blouberg,,Capricorn,NP351,,,
Malehlage,Post Office,2002-05-01 00:00:00,70 km SE of Polokwane,Limpopo,73.0,,347.0,7.0,4.0,,"Fetakgomo Tubatse Local Municipality
",,Sekhukhune,NP03a6,,,
Malemati,Post Office,2002-05-01 00:00:00,60 km SE of Polokwane,Limpopo,73.0,,347.0,7.0,4.0,DC35,Lepele-Nkumpi,,Capricorn,NP355,,,
Malopeng,Post Office,2000-03-14 00:00:00,40 km W of Polokwane,Limpopo,73.0,,346.0,7.0,4.0,DC35,"Polokwane Local Municipality
",,Capricorn,NP352,,,
Mamanyoga,Post Office,2001-08-14 00:00:00,40 km E of Duiwelskloof,Limpopo,73.0,,342.0,7.0,4.0,DC33,Greater Letaba,,Mopani,NP332,,,
Mamello,Town,2000-09-22 00:00:00,Mamelodi near Pretoria,Gauteng,111.0,,,3.0,4.0,DC42,Midvaal,,"Sedibeng
",GT422,,,
Mamosana,Post Office,2001-10-29 00:00:00,41km NW of Polokwane,Limpopo,73.0,,346.0,7.0,4.0,DC35,"Polokwane Local Municipality 
",,Capricorn,NP352,,,
Manaileng,Post Office,2000-09-07 00:00:00,49 km N of Mokopane,Limpopo,73.0,,346.0,7.0,4.0,DC35,"Polokwane Local Municipality 
",,Capricorn,NP352,,,
Manamakgoteng,Post Office,2000-03-14 00:00:00,15 km W of Brits,North West,73.0,,267.0,8.0,8.0,DC37,Madibeng,,Bojanala,NW372,,,
Manavhela,Post Office,2001-10-29 00:00:00,30 km W of Louis Trichardt (Near Tshilwavhusiku),Limpopo,73.0,,352.0,7.0,9.0,DC34,Makhado,,Vhembe,NP344,,,
Mandlethu,Village,2009-09-18 00:00:00,,Mpumalanga,,Vlaklaagte No.1,,,,,Thembisile,,Nkangala,,Change of Name,,
Mangata,Post Office,2001-08-14 00:00:00,60 km W of Polokwane,Limpopo,73.0,,343.0,7.0,4.0,DC35,Blouberg,,Capricorn,NP351,,,
Maniini,Post Office,2001-08-14 00:00:00,4 km S of Thohoyandou,Limpopo,73.0,,354.0,7.0,9.0,DC34,Thulamela,,Vhembe,NP343,,,
Manokwane,Post Office,2001-08-14 00:00:00,15 km E of Taung,North West,73.0,,431.0,8.0,8.0,DC39,Greater Taung,,"Dr Ruth Segomotsi Mompati
",NW394,,,
Mantsie,Village,2001-08-14 00:00:00,13 km SE of Gopane,North West,106.0,,406.0,8.0,8.0,DC38,Ramotshere Moiloa,,"Ngaka Modiri Molema
",NW385,,,
Mapaputle,Post Office,2000-09-07 00:00:00,75 km W of Rustenburg,North West,73.0,,265.0,8.0,8.0,DC37,Moses Kotane,,"Bojanala
",NW375,,,
Mapate,Settlement,2001-10-29 00:00:00,11 km E of Thohoyandou,Limpopo,105.0,,354.0,7.0,9.0,DC34,Thulamela,,Vhembe,NP343,,,
Maphophe,Settlement,2002-05-01 00:00:00,42 km NE of Thohoyandou,Limpopo,105.0,,335.0,7.0,7.0,DC34,Thulamela,,Vhembe,NP343,,,
Maphotla,Settlement,2006-06-30 00:00:00,"14 km South-West of Mdutjana, 2528BB",Mpumalanga,105.0,Wolwekraal,,5.0,4.0,DC31,Dr JS Moroka,,"Nkangala
",MP316,Wolwekraal,,
Maponto,Post Office,2000-03-14 00:00:00,109 km N of Polokwane,Limpopo,73.0,,344.0,7.0,4.0,DC35,Molemole,,Capricorn,NP353,,,
Maralaleng,Post Office,2002-05-01 00:00:00,±78 km SE of Polokwane,Limpopo,73.0,,347.0,7.0,4.0,,Fetakgomo,,Sekhukhune,NP03a3,,,
Maranzhe,Settlement,2002-05-01 00:00:00,10 km NW of Thohoyandou,Limpopo,105.0,,354.0,7.0,9.0,DC34,Thulamela,,Vhembe,NP343,,,
Marapallo,Post Office,2000-09-07 00:00:00,80 km NW of Rustenburg,North West,73.0,,265.0,8.0,8.0,DC37,Moses Kotane,,Bojanala,NW375,,,
Marapyane,Settlement,2003-05-15 00:00:00,13 km SW of Siyabuswa (Formerly Marapjane),Mpumalanga,105.0,Marapjane,322.0,5.0,3.0,DC31,Dr JS Moroka,,Nkangala,MP316,Marapjane,,
Marobeng,Post Office,2001-04-09 00:00:00,6 km W of Thaba Nchu,Free State,73.0,,198.0,2.0,8.0,DC17,Mangaung,,Mangaung,FS172,,,
Maseke,Post Office,2000-09-07 00:00:00,17 km W of Phalaborwa,Limpopo,73.0,,337.0,7.0,4.0,DC33,Ba-Phalaborwa,,Mopani,NP334,,,
Mashamaite,Post Office,2000-03-14 00:00:00,35 km NW of Polokwane,Limpopo,73.0,,346.0,7.0,4.0,DC35,Polokwane,,Capricorn,NP354,,,
Mashishing,Settlement,2006-06-30 00:00:00,"100 km NE of Nelspruit, 2530AB",Mpumalanga,105.0,Lydenburg,,5.0,4.0,DC32,Thaba Chweu,,Ehlanzeni,MP321,Lydenburg,,
Mashobohleng,Post Office,2000-03-14 00:00:00,38 km NW of Polokwane,Limpopo,73.0,,346.0,7.0,4.0,DC35,Polokwane,,"Capricorn
",NP354,,,
Mašita,Post Office,2001-08-14 00:00:00,42 km NW of Polokwane,Limpopo,73.0,,346.0,7.0,4.0,DC35,Polokwane,,"Capricorn 
",NP352,,,
Masobye,Village,2009-09-18 00:00:00,,Mpumalanga,,Pankop,,,,,Dr J S Moroka,,Nkangala,,Change of Name,,
Matlalane,Post Office,2000-09-07 00:00:00,98 km from Mokopane,Limpopo,73.0,,345.0,7.0,4.0,DC36,Mogalakwena,,Waterberg,NP367,,,
Matlapaneng,Post Office,2001-04-08 00:00:00,12 km NW of Taung station,North West,73.0,,431.0,8.0,8.0,DC39,Greater Taung,,"Dr Ruth Segomotsi Mompati
",NW394,,,
Matsa,Post Office,2001-08-14 00:00:00,12 km W of Dzanani,Limpopo,73.0,,354.0,7.0,9.0,DC34,Makhado,,Vhembe,NP344,,,
Matseba,Post Office,2002-05-01 00:00:00,80 km N of Polokwane,Limpopo,73.0,,344.0,7.0,4.0,DC35,Molemole,,Capricorn,NP353,,,
Matšeka,Post Office,2000-03-14 00:00:00,75 km NW of Polokwane,Limpopo,73.0,,346.0,7.0,4.0,DC35,"Blouberg Local Municipality
",,Capricorn,NP352,,,
Matshakatini,Settlement,2002-05-01 00:00:00,53 km SE of Musina,Limpopo,105.0,,354.0,7.0,9.0,DC34,Musina,,Vhembe,NP341,,,
Matshena,Post Office,2001-08-14 00:00:00,45 km E of Mutale,Limpopo,73.0,,354.0,7.0,9.0,DC34,"Musina Local Municipality
",,Vhembe,NP342,,,
Maungani,Post Office,2001-10-29 00:00:00,5 km W of Thohoyandou,Limpopo,73.0,,354.0,7.0,9.0,DC34,Thulamela,,Vhembe,NP343,,,
Mavunde,Post Office,2001-08-14 00:00:00,56 km E of Thohoyandou,Limpopo,73.0,,354.0,7.0,9.0,DC34,Thulamela,,Vhembe,NP343,,,
Mawoni,Settlement,2002-05-01 00:00:00,62 km SE of Musina,Limpopo,105.0,,354.0,7.0,9.0,DC34,Makhado,,Vhembe,NP344,,,
Mbahela,Post Office,2001-08-14 00:00:00,37 km S of Thohoyandou,Limpopo,73.0,,354.0,7.0,9.0,DC34,Thulamela,,Vhembe,NP343,,,
Mbhashe,River (not specified),2004-07-16 00:00:00,,Eastern Cape,119.0,Mbashe,,1.0,10.0,DC12,Mbhashe,,Amathole,EC121,Mbashe,,
Mbhashe,Village,2006-07-27 00:00:00,River Lat: 32° 14' Long: 28° 54' Village Lat::32,Eastern Cape,106.0,,371.0,1.0,10.0,DC12,Mbhashe,,Amathole,EC121,,,
Mbhashe,Railway,2006-07-27 00:00:00,River Lat: 32° 14' Long: 28° 54' Village Lat::32,Eastern Cape,78.0,,371.0,1.0,10.0,DC12,Mbhashe,,Amathole,EC121,,,
Mbhetana,Post Office,2000-09-07 00:00:00,47 km E of Tzaneen,Limpopo,73.0,,342.0,7.0,7.0,DC33,Greater Tzaneen,,Mopani,NP333,,,
Mbhokota,Post Office,2001-10-29 00:00:00,9 km SE of Elim (Near Louis Trichardt),Limpopo,73.0,,355.0,7.0,7.0,DC34,Makhado,,Vhembe,NP344,,,
Mbhongo,Village,2003-05-15 00:00:00,31 km NWW of Siyabuswa (Formerly Almansdrift B),Mpumalanga,106.0,Almansdrift B,324.0,5.0,8.0,DC31,Dr JS Moroka,,Nkangala,MP316,Almansdrift B,,
Mbwedi,Dam,2002-05-01 00:00:00,15 km N of Thohoyandou,Limpopo,23.0,,354.0,7.0,9.0,DC34,Thulamela,,Vhembe,NP343,,,
Mchantsi,River (not specified),2005-02-25 00:00:00,22 km SW,KwaZulu-Natal,119.0,Umkantzi,,4.0,10.0,DC26,Nongoma,,Zululand,KZ265,Umkantzi,,
Meerlus,Station,2001-08-14 00:00:00,30 km S of Middelburg,Mpumalanga,79.0,,73.0,5.0,1.0,DC31,Steve Tshwete,,"Nkangala
",MP313,,,
Menele,Post Office,2001-04-09 00:00:00,± 10 km from Malamulele Township (Eastern),Limpopo,73.0,,335.0,7.0,7.0,DC34,Thulamela,,Vhembe,NP343,,,
Metsimatala,Township,2003-05-15 00:00:00,30 km E of Postmasburg,Northern Cape,130.0,,144.0,6.0,8.0,DC8,Tsantsabane,,"Z F Mgcawu
",NC085,,,
Mgojweni,Post Office,2000-09-22 00:00:00,12 km NE of Lsikisiki,Eastern Cape,73.0,,,1.0,10.0,DC15,Qaukeni,,"O.R.Tambo
",EC153,,,
Mhangweni,Post Office,2001-08-14 00:00:00,41 km E of Tzaneen,Limpopo,73.0,,339.0,7.0,7.0,DC33,Ba-Phalaborwa,,Mopani,NP334,,,
Mhlaba Cross,Post Office,2000-09-07 00:00:00,23 km SE of Tzaneen,Limpopo,73.0,,325.0,7.0,17.0,DC33,Greater Tzaneen,,Mopani,NP333,,,
Mhlambanyatsi,Settlement,2003-05-15 00:00:00,22 km SE of Kaapmuiden (Formerly Buffelspruit),Mpumalanga,105.0,Buffelspruit,318.0,5.0,6.0,DC32,Nkomazi,,Ehlanzeni,MP324,Buffelspruit,,
Mhlambanyatsi River,River (not specified),2003-05-15 00:00:00,17 km SE of Kaapmuiden (Formerly Slabojet),Mpumalanga,119.0,Slabojet,312.0,5.0,6.0,DC32,Nkomazi,,Ehlanzeni,MP324,Slabojet,,
Mianzwi,Post Office,2001-08-14 00:00:00,32 km E of Thohoyandou,Limpopo,73.0,,354.0,7.0,9.0,DC34,"Collins Chabane Local Municipality
",,Vhembe,NP343,,,
Midoroni,Post Office,2001-10-29 00:00:00,30 km W of Louis Trichardt (Near Tshilwavhusiku),Limpopo,73.0,,352.0,7.0,9.0,DC34,Makhado,,Vhembe,NP344,,,
Midstream Estate,Town,2006-07-27 00:00:00,4 km S of Centurion,Free State,111.0,,270.0,2.0,2.0,DC18,Tswelopele,,Lejweleputswa,FS183,,,
Migavhini,Settlement,2002-05-01 00:00:00,60 km SE of Musina,Limpopo,105.0,,354.0,7.0,9.0,DC34,Makhado,,Vhembe,NP344,,,
Mmaditseke,Post Office,2001-08-14 00:00:00,102 km W of Polokwane,Limpopo,73.0,,346.0,7.0,4.0,DC36,Mogalakwena,,Waterberg,NP367,,,
Mmaduma,Settlement,2005-02-25 00:00:00,60 km W of Siyabuswa,Mpumalanga,105.0,Greenside,,5.0,8.0,DC31,Dr JS Moroka,,Nkangala,MP316,Greenside,,
Mmahlabane,Settlement,2006-06-30 00:00:00,Between KwaMhlanga and Mbibane and 20 km from Libangeni,Mpumalanga,105.0,Zandspruit,,5.0,4.0,DC31,Dr JS Moroka,,Nkangala,MP316,Zandspruit,,
Mmakaunyana,Post Office,2000-03-14 00:00:00,80 km W of Pretoria,North West,73.0,,446.0,8.0,8.0,DC37,Moretele,,Bojanala,NW371,,,
Mmakwara,Post Office,2001-08-14 00:00:00,123 km NW of Polokwane,Limpopo,73.0,,344.0,7.0,4.0,DC35,Blouberg,,Capricorn,NP351,,,
Mmaleupa,Village,2001-08-14 00:00:00,15 km SW of Gopane,North West,106.0,,406.0,8.0,8.0,DC38,Ramotshere Moiloa,,"Ngaka Modiri Molema
",NW385,,,
Mmamatlepa,Post Office,2001-08-14 00:00:00,48 km E of Duiwelskloof,Limpopo,73.0,,342.0,7.0,4.0,DC33,Greater Letaba,,Mopani,NP332,,,
Mmamatonya,Post Office,2001-08-14 00:00:00,85 km S of Polokwane,Limpopo,73.0,,347.0,7.0,4.0,DC35,Lepele-Nkumpi,,Capricorn,NP355,,,
Mmamehlaba,Post Office,2001-04-08 00:00:00,80 km NW of Polokwane,Limpopo,73.0,,346.0,7.0,4.0,DC35,"Blouberg Local Municipality
",,Capricorn,NP352,,,
Mmamoleke,Post Office,2002-05-01 00:00:00,51 km S of Polokwane,Limpopo,73.0,,328.0,7.0,4.0,DC34,Makhado,,Vhembe,NP344,,,
Mmankaipaya,Post Office,2001-04-09 00:00:00,62 km N of Madikwe,North West,73.0,,265.0,8.0,8.0,DC37,Moses Kotane,,Bojanala,NW375,,,
Mmatlhwaela,Post Office,2001-08-14 00:00:00,9 km E of Rantebeng,North West,73.0,,446.0,8.0,8.0,DC37,Moretele,,Bojanala,NW371,,,
Mmorogong,Post Office,2001-04-09 00:00:00,78 km N of Rustenburg,North West,73.0,,265.0,8.0,8.0,DC37,Moses Kotane,,Bojanala,NW375,,,
Mmukubyane,Post Office,2001-08-14 00:00:00,14 km W of Bedwang,North West,73.0,,446.0,8.0,8.0,DC37,Moretele,,Bojanala,NW371,,,
Mmu-tshweu,Settlement,2001-08-14 00:00:00,Suburb of Gopane,North West,105.0,,406.0,8.0,8.0,DC38,Ramotshere Moiloa,,"Ngaka Modiri Molema
",NW385,,,
Mnceba,Post Office,2000-09-22 00:00:00,19 km W,KwaZulu-Natal,73.0,,,4.0,10.0,DC24,Umvoti,,"Umzinyathi
",KZ245,,,
Mochelatze,River (not specified),2006-06-30 00:00:00,14 km NE of Modjadjiskloof,Limpopo,119.0,Lindersloop,,7.0,16.0,DC33,Greater Letaba,,"Mopani
",NP332,Lindersloop,,
Modikwe,Post Office,2000-03-14 00:00:00,30 km NW of Brits,North West,73.0,,267.0,8.0,8.0,DC37,Rustenburg,,Bojanala,NW373,,"""On the podium""",
Modimola,Post Office,2000-09-22 00:00:00,26 km W,North West,73.0,,,8.0,8.0,DC38,Mafikeng,,"Ngaka Modiri Molema
",NW383,,,
Modjadjiskloof,Town,2006-07-27 00:00:00,16 km N of Tzaneen Lat: 23° 41' Long: 30° 08',Limpopo,111.0,,343.0,7.0,,DC33,Greater Letaba,,"Mopani
",NP332,,,
Modubatze,River (not specified),2006-06-30 00:00:00,12 km from Modjadjiskloof,Limpopo,119.0,Brandboontjies,,7.0,4.0,DC33,Greater Tzaneen,,"Mopani
",NP333,Brandboontjies,,
Module,Post Office,2000-09-07 00:00:00,70 km W of Rustenburg,North West,73.0,,265.0,8.0,8.0,DC37,Moses Kotane,,Bojanala,NW375,,,
Moeka,Post Office,2000-09-07 00:00:00,22 km from Makapanstad,North West,73.0,,269.0,8.0,8.0,DC37,Moretele,,Bojanala,NW371,,,
Moema,Post Office,2001-08-14 00:00:00,2 km S of Rantebeng RPA,Mpumalanga,73.0,,446.0,5.0,8.0,DC31,Dr JS Moroka,,Nkangala,MP316,,,
Mogogelo,Post Office,2000-03-14 00:00:00,23 km W of Hammanskraal,North West,73.0,,446.0,8.0,8.0,DC37,Moretele,,Bojanala,NW371,,,
Mogopa,Post Office,2000-03-14 00:00:00,48 km NW of Madikwe,North West,73.0,,256.0,8.0,8.0,DC38,Ramotshere Moiloa,,"Ngaka Modiri Molema
",NW385,,,
Mogosane,Post Office,2000-03-14 00:00:00,33 km N of Mafikeng,North West,73.0,,440.0,8.0,8.0,DC39,Molopo,,"Dr Ruth Segomotsi Mompati
",NW395,,,
Mogwadi,Town,2002-10-01 00:00:00,Situated in the CBD (Formerly Dendron) 60 km from Limpompo CBD.,Limpopo,111.0,Dendron,328.0,7.0,4.0,DC35,Molemole,,Capricorn,NP353,Dendron,,
Mogwadi,River (not specified),2005-07-16 00:00:00,45 km from Polokwane and 20 km from Dendron,Limpopo,119.0,Hout River,,7.0,4.0,DC35,Molemole,,Capricorn,NP353,Hout River,,
Mogwadi,dam,2005-07-16 00:00:00,75 km S of Ganyesa,Limpopo,23.0,Hout River,,,16.0,,Polokwane Local Municipality,,Capricorn,,Hout River,,
Moiletswane,Post Office,2000-03-14 00:00:00,35 km NW of Pretoria,North West,73.0,,416.0,8.0,8.0,DC37,Madibeng,,Bojanala,NW372,,,
Mokgola,Post Office,2000-03-14 00:00:00,125 km N of Zeerust,North West,73.0,,257.0,8.0,8.0,DC38,Ditsobotla,,"Ngaka Modiri Molema
",NW384,,,
Mokgorokgoro,Post Office,2001-08-14 00:00:00,65 km W of Polokwane,Limpopo,73.0,,346.0,7.0,4.0,DC35,Lepele-Nkumpi,,"Capricorn
",NP355,,,
Mokgwati,Post Office,2000-03-14 00:00:00,70 km NE of Tzaneen,Limpopo,73.0,,342.0,7.0,4.0,DC33,Greater Tzaneen,,Mopani,NP333,,,
Mokopane,Town,2002-05-01 00:00:00,Formerly Potgietersrus,Limpopo,111.0,Potgietersrus,330.0,7.0,4.0,DC36,Mogalakwena,,Waterberg,NP367,Potgietersrus,,
Mokwakwaila,Post Office,2000-09-07 00:00:00,33 km NE of Ga-Kgapane,Limpopo,73.0,,342.0,7.0,4.0,DC33,Greater Tzaneen,,Mopani,NP333,,,
Molalane,Post Office,2001-08-14 00:00:00,46 km N of Hoedspruit,Limpopo,73.0,,350.0,7.0,4.0,DC33,Ba-Phalaborwa,,Mopani,NP334,,,
Molapomoagale,Mountain,2004-05-28 00:00:00,,Mpumalanga,44.0,,,5.0,,DC31,Dr JS Moroka,,Nkangala,MP316,,,
Molapong,Post Office,2000-03-14 00:00:00,40 km N of Polokwane,Limpopo,73.0,,347.0,7.0,4.0,DC35,Lepele-Nkumpi,,Capricorn,NP355,,,
Moleboge,Post Office,2002-05-01 00:00:00,90 km NW of Polokwane,Limpopo,73.0,,344.0,7.0,4.0,DC35,Blouberg,,Capricorn,NP351,,,
Moleketla,Post Office,2001-04-08 00:00:00,±30 km NE of Tzaneen,Limpopo,73.0,,342.0,7.0,4.0,DC33,Greater Tzaneen,,Mopani,NP333,,,
Molonyama,Post Office,2001-10-29 00:00:00,18 km W of Polokwane,Limpopo,73.0,,346.0,7.0,4.0,DC35,Molemole,,Capricorn,NP353,,,
Molorwe,Post Office,2000-09-07 00:00:00,70 km NW of Rustenburg,North West,73.0,,265.0,8.0,8.0,DC37,Moses Kotane,,Bojanala,NW375,,,
Moloto North,Forest,2005-04-01 00:00:00,14 Km NW of KwaMhlanga,Mpumalanga,132.0,,,,17.0,,Thembisile Local Municipality,,Nkangala,,,,
Molototzi,River (not specified),2005-07-16 00:00:00,In Mopani district,Limpopo,119.0,,,,17.0,,"Greater Letaba Local Municipality
",,Mopani,,,,
Molototzi,,2005-09-16 00:00:00,Through Bolobedu until Grear Letaba River,Limpopo,,,,,9.0,DC33,"Greater Letaba Local Municipality
",,Mopani,,,,
Monakhi,Post Office,2000-09-07 00:00:00,45 km E of Polokwane,Limpopo,73.0,,347.0,7.0,7.0,DC35,Polokwane,,Capricorn,NP354,,,
Montana Aftree-Oord,Post Office,2001-10-29 00:00:00,E of Sinoville,Gauteng,73.0,,272.0,3.0,1.0,,Tshwane Metro,,Tshwane Metro,TSH,,test1,
Mooikloof Ridge,Residential Township,2002-05-01 00:00:00,±350 m from the Western boundary of Kungwini local Municipality,Gauteng,131.0,,270.0,3.0,17.0,DC46,"City of Tshwane
",,"City of Tshwane
",GT02b2,,,
Mooilyk,Post Office,2001-04-09 00:00:00,70 km SE of Polokwane,Limpopo,73.0,,349.0,7.0,1.0,,Greater Tubatse,,Sekhukhune,NP03a6,,,
Mookgophong,Town,2006-11-24 00:00:00,Town situated halfway between Mokopane and Modimolle in Limpopo.(Former Naboomspruit),Limpopo,111.0,Naboomspruit,330.0,7.0,4.0,DC36,Mookgopong,,Waterberg,NP364,Naboomspruit,,
Morebeng,Settlement,2002-10-01 00:00:00,NW of Segosese (Formerly Soekmekaar),Limpopo,105.0,Soekmekaar,343.0,7.0,4.0,DC35,Molemole,,Capricorn,NP353,Soekmekaar,,
Morola,Post Office,2002-05-01 00:00:00,57 km E of Tzaneen,Limpopo,73.0,,350.0,7.0,4.0,DC33,Maruleng,,Mopani,NP335,,,
Morula,Post Office,2001-08-14 00:00:00,67 km E of Tzaneen,Limpopo,73.0,,350.0,7.0,4.0,DC33,Maruleng,,Mopani,NP335,,,
Moseki,Post Office,2000-03-14 00:00:00,25 km SW of Mafikeng,North West,73.0,,370.0,8.0,8.0,DC38,Mafikeng,,"Ngaka Modiri Molema
",NW383,,,
Moshodo,Post Office,2002-05-01 00:00:00,60 km S of Polokwane,Limpopo,73.0,,328.0,7.0,4.0,DC35,Lepele-Nkumpi,,Capricorn,NP355,,,
Mosukudutzi,River (not specified),2005-07-16 00:00:00,In Mopani District,Limpopo,119.0,Brandboontjies,,,16.0,,Greater Letaba Local Municipality,,Mopani,,Brandboontjies,,
Moswatse,Post Office,2001-10-29 00:00:00,65 km SE of Polokwane,Limpopo,73.0,,349.0,7.0,4.0,DC35,Lepele-Nkumpi,,Capricorn,NP355,,,
Mothomeng,Post Office,2001-08-14 00:00:00,36 km N of Tzaneen,Limpopo,73.0,,342.0,7.0,4.0,DC33,Greater Tzaneen,,Mopani,NP333,,,
Motlatse,River (not specified),2003-11-28 00:00:00,36 km N of Graskop,Mpumalanga,119.0,Blyde,,5.0,4.0,DC32,Thaba Chweu,,Ehlanzeni,MP321,Blyde,,
Motlhabe,Post Office,2001-04-08 00:00:00,70 km NW of Rustenburg,North West,73.0,,265.0,8.0,8.0,DC37,Moses Kotane,,"Bojanala
",NW375,,,
Motlhele,Post Office,2001-08-14 00:00:00,40 km E of Giyani,Limpopo,73.0,,342.0,7.0,4.0,DC33,Greater Giyani,,Mopani,NP331,,,
Motsoaledi View,Township,2001-10-29 00:00:00,12 km SW of Johannesburg (In Soweto),Gauteng,130.0,,273.0,3.0,17.0,,Johannesburg Metro,,Johannesburg Metro,JHB,,The name derives from the name of the former leader of the African National Congress Oliver Reginald Tambo,
Mountain Marsh,Settlement,2005-02-25 00:00:00,12 km S White River,Mpumalanga,105.0,,,5.0,2.0,DC32,Mbombela,,Ehlanzeni,MP322,,,
Moyantshe,Post Office,2001-08-14 00:00:00,10 km SE of Rustenburg,North West,73.0,,266.0,8.0,8.0,DC37,Rustenburg,,Bojanala,NW373,,"""On the podium""",
Mpake,Post Office,2001-04-09 00:00:00,20 km W from Globlersdal,Limpopo,73.0,,307.0,7.0,4.0,,"Elias Motsoaledi Local Municipality
",,Sekhukhune,NP03a5,,,
Mpethu,Village,2006-07-27 00:00:00,±25 km W of Centani: Village Lat: 32° 18' Long: 2,Eastern Cape,106.0,,367.0,1.0,10.0,DC12,Mnquma,,Amathole,EC122,,,
Mphaneng,Post Office,2001-10-29 00:00:00,50 km SE of Polokwane,Limpopo,73.0,,349.0,7.0,4.0,,Fetakgomo,,Sekhukhune,NP03a3,,,
Mphephu,Township,2006-07-27 00:00:00,Lat: 22° 52' Long: 30° 08',Limpopo,130.0,,354.0,7.0,,DC34,Makhado,,Vhembe,NP344,,,
Mputhi,River (not specified),2004-07-16 00:00:00,20 km N of Dutywa,Eastern Cape,119.0,Mphuthi,,1.0,1.0,DC15,King Sabata Dalindyebo,,"O.R.Tambo 
",EC157,Mphuthi,,
Mputhi,Settlement,2004-07-16 00:00:00,20 km N of Dutywa,Eastern Cape,105.0,Mphuthi,,1.0,10.0,DC15,King Sabata Dalindyebo,,"O.R.Tambo 
",EC157,Mphuthi,,
Mputhi,Railway,2006-07-27 00:00:00,± 20 km N Lat: 31° 38' Long: 28° 20' River Lat:,Eastern Cape,78.0,,371.0,1.0,10.0,DC15,King Sabata Dalindyebo,,"O.R.Tambo 
",EC157,,,
Msiza Section,Post Office,2000-03-14 00:00:00,40 km N of Pretoria,North West,73.0,,416.0,8.0,17.0,DC37,Madibeng,,Bojanala,NW372,,,
Mt. Hebron Nature Reserve,Nature Reserve,2001-05-31 00:00:00,,Western Cape,62.0,,15.0,9.0,16.0,DC3,Overstrand,,Overberg,WC032,,,
Mthamvuna,River (not specified),2005-02-25 00:00:00,Boundary between KZN & EC,KwaZulu-Natal,119.0,Mtamvuna,,4.0,10.0,DC21,"Ray Nkonyeni Local Municipality
",,"Ugu
",KZ216,Mtamvuna,,
Mthatha,River (not specified),2004-07-16 00:00:00,,Eastern Cape,119.0,,,1.0,10.0,DC15,King Sabata Dalindyebo,,"O.R.Tambo 
",EC157,,,
Mthatha,Town,2006-07-27 00:00:00,Town Lat: 31° 35' Long: 28° 46' Post Office Lat:,Eastern Cape,111.0,,115.0,1.0,10.0,DC15,King Sabata Dalindyebo,,"O.R.Tambo 
",EC157,,,
Mthatha,Post Office,2006-07-27 00:00:00,Town Lat: 31° 35' Long: 28° 46' Post Office Lat:,Eastern Cape,73.0,,115.0,1.0,10.0,DC15,King Sabata Dalindyebo,,"O.R.Tambo 
",EC157,,,
Mthatha,Railway,2006-07-27 00:00:00,Town Lat: 31° 35' Long: 28° 46' Post Office Lat:,Eastern Cape,78.0,,115.0,1.0,10.0,DC15,King Sabata Dalindyebo,,"O.R.Tambo 
",EC157,,,
Mtilane,River (not specified),2003-05-15 00:00:00,27 km SE of Kaapmuiden,Mpumalanga,119.0,,318.0,5.0,6.0,DC32,Nkomazi,,"Ehlanzeni
",MP324,,,
Muduluni,Post Office,2001-10-29 00:00:00,28 km W of Louis Trichardt (Near Tshilwavhusiku),Limpopo,73.0,,352.0,7.0,9.0,DC34,Makhado,,Vhembe,NP344,,,
Mukomaasinanndu,Settlement,2002-05-01 00:00:00,15 km NE of Thohoyandou,Limpopo,105.0,,354.0,7.0,9.0,DC34,Thulamela,,Vhembe,NP343,,,
Muledane,Post Office,2001-08-14 00:00:00,5 km S of Thohoyandou,Limpopo,73.0,,354.0,7.0,9.0,DC34,Thulamela,,Vhembe,NP343,,,
Murunwa,Settlement,2002-05-01 00:00:00,69 km SE of Musina,Limpopo,105.0,,354.0,7.0,9.0,DC34,Makhado,,Vhembe,NP344,,,
Mushung,Post Office,2000-03-14 00:00:00,26 km NW of Polokwane,Limpopo,73.0,,346.0,7.0,4.0,DC35,Polokwane,,Capricorn,NP354,,,
Musina,Town,2002-05-01 00:00:00,100 km N of Makhado (Louis Trichardt) (Formerly Messina),Limpopo,111.0,Messina,326.0,7.0,17.0,DC34,Musina,,Vhembe,NP341,Messina,,
Muswodi Tshimani,Settlement,2002-05-01 00:00:00,50 km SE of Musina,Limpopo,105.0,,354.0,7.0,9.0,DC34,"Musina Local Municipality
",,Vhembe,NP342,,,
Mutele B,Settlement,2002-05-01 00:00:00,87 km SE of Musina,Limpopo,105.0,,354.0,7.0,9.0,DC34,"Musina Local Municipality
",,Vhembe,NP342,,,
